Source,Target,Weight
4.0,416.0,0.641571164448274
4.0,211.0,0.6741198408246276
4.0,625.0,0.6526561443763599
4.0,213.0,0.8578708752517885
5.0,564.0,0.7926247489630203
5.0,691.0,0.8348079832520531
5.0,565.0,0.8830656142815021
5.0,11.0,0.8827013003604566
5.0,237.0,0.8917866395947105
5.0,757.0,0.895304026540863
5.0,524.0,0.8697118053385698
5.0,415.0,0.8963563731829154
5.0,123.0,0.8853799753185633
5.0,188.0,0.8904322911766607
5.0,835.0,0.8942716451887806
5.0,933.0,0.9078665020907262
5.0,429.0,0.8999744335241086
5.0,354.0,0.8854690254498987
5.0,799.0,0.8841342290201682
5.0,14.0,0.9141439842672059
5.0,72.0,0.8993029821140349
5.0,357.0,0.8957796103863584
5.0,708.0,0.8677903988983788
5.0,360.0,0.9050197270525119
5.0,778.0,0.8358311465143482
5.0,748.0,0.8481784439690363
5.0,81.0,0.8954961534044832
5.0,802.0,0.8803979263335419
5.0,525.0,0.8809695489723777
5.0,69.0,0.8392184863841644
5.0,887.0,0.8635497087916373
5.0,141.0,0.8559538390187834
5.0,718.0,0.8882839407228622
6.0,303.0,0.9010713619281133
6.0,451.0,0.89878312577959
6.0,823.0,0.8666188501914841
6.0,378.0,0.9118035975045109
6.0,760.0,0.9091554723465899
6.0,632.0,0.8826425416151135
6.0,554.0,0.8916034624857293
6.0,184.0,0.9057329529063672
6.0,583.0,0.8647200758355919
6.0,589.0,0.8556331300152237
6.0,310.0,0.9190462591272672
6.0,575.0,0.9224572413346799
6.0,969.0,0.8367231004942087
6.0,193.0,0.8825883664378941
6.0,194.0,0.9021671813833356
6.0,468.0,0.890341647937612
6.0,857.0,0.8928821826445484
6.0,16.0,0.909292110554666
6.0,369.0,0.9152674326805372
6.0,464.0,0.9191905007663815
6.0,257.0,0.8742864253203531
6.0,465.0,0.8839606832249907
6.0,913.0,0.8990786888341161
6.0,683.0,0.8956155755698354
6.0,203.0,0.9058390810975286
6.0,853.0,0.8729358291110336
6.0,205.0,0.8429154163230839
6.0,875.0,0.9188159388457371
6.0,529.0,0.8793953955310176
6.0,719.0,0.9232295113829374
6.0,411.0,0.9242096961642536
6.0,944.0,0.8899948475414303
6.0,18.0,0.9143048260599478
6.0,686.0,0.9036210160825683
6.0,658.0,0.9204545698339357
6.0,779.0,0.9401254253898038
6.0,382.0,0.8880085974852994
6.0,865.0,0.8603964119868658
6.0,417.0,0.9049112724222376
6.0,662.0,0.8984176092091294
6.0,602.0,0.9272741413073563
6.0,422.0,0.8264970631750768
6.0,349.0,0.9242519123042559
6.0,872.0,0.9213353431912162
6.0,100.0,0.911955508518573
6.0,801.0,0.8993363431056147
6.0,408.0,0.9056518627974339
6.0,613.0,0.8844812706529922
6.0,938.0,0.884909034519853
6.0,99.0,0.915498712767615
6.0,578.0,0.8549978285720441
6.0,880.0,0.8745470885147564
6.0,553.0,0.9006963954860179
6.0,61.0,0.916068464387731
6.0,172.0,0.8774737253671372
6.0,1013.0,0.912537394344177
6.0,173.0,0.9182113523790865
6.0,722.0,0.9184878372376712
6.0,371.0,0.9056231536558865
6.0,176.0,0.9170548509126767
6.0,396.0,0.8749877169136993
6.0,685.0,0.9008507489901545
6.0,741.0,0.9001047864706646
6.0,56.0,0.8852865957257805
6.0,892.0,0.8635972557194184
7.0,119.0,0.9124635501646283
7.0,692.0,0.9016655378263022
7.0,508.0,0.9233379465425532
7.0,121.0,0.9241940949433978
7.0,447.0,0.9025154811002479
7.0,382.0,0.8792653375861299
7.0,244.0,0.9118338542036928
7.0,230.0,0.8666125294825813
7.0,838.0,0.9160244541952403
7.0,581.0,0.919681105130937
7.0,320.0,0.8668080168343428
7.0,321.0,0.8777535495485288
7.0,458.0,0.8915360314453774
7.0,474.0,0.9125054781120863
7.0,258.0,0.9032509971788197
7.0,981.0,0.8885286008948008
7.0,852.0,0.927410269629896
7.0,595.0,0.8909181055785781
7.0,917.0,0.9139279862193556
7.0,528.0,0.915057455222665
7.0,264.0,0.9229109180648589
7.0,27.0,0.8712828250434927
7.0,785.0,0.8821843817828054
7.0,531.0,0.9143323587131683
7.0,448.0,0.9082343893027961
