Id,Label
746.0,opportunity
747.0,conference
748.0,painting
749.0,writing
750.0,african
751.0,men
752.0,cost
753.0,south
754.0,settle
755.0,win
756.0,asked
757.0,people
758.0,filled
759.0,police
760.0,representatives
761.0,major
762.0,care
763.0,afro
764.0,china
765.0,regional
766.0,arrested
767.0,expansion
768.0,fund
769.0,lebanon
770.0,crisis
771.0,ideological
772.0,aid
773.0,solidarity
774.0,type
775.0,council
776.0,red
777.0,anti
778.0,crop
779.0,official
780.0,applied
781.0,mohammed
782.0,spoke
783.0,permanent
784.0,give
785.0,spread
786.0,general
787.0,egypt
788.0,issue
789.0,board
790.0,launched
791.0,iranian
792.0,administration
793.0,nato
794.0,worth
795.0,department
796.0,private
797.0,felt
798.0,resolution
799.0,nature
800.0,town
801.0,view
802.0,price
803.0,comprised
804.0,socialist
805.0,faith
806.0,sources
807.0,symposium
808.0,algeria
809.0,land
810.0,greek
811.0,produce
812.0,heart
813.0,names
814.0,financial
815.0,replied
816.0,meeting
817.0,smith
818.0,decided
819.0,account
820.0,run
821.0,large
822.0,opinion
823.0,experts
824.0,address
825.0,part
826.0,investigation
827.0,bank
828.0,budget
829.0,recommendations
830.0,palestine
831.0,ing
832.0,newspapers
833.0,cabinet
834.0,horse
835.0,british
836.0,record
837.0,local
838.0,follow
839.0,promotion
840.0,lead
841.0,demonstrations
842.0,home
843.0,weekly
844.0,quarters
845.0,finally
846.0,report
847.0,exchange
848.0,significance
849.0,set
850.0,germany
851.0,wife
852.0,future
853.0,stressed
854.0,boulak
855.0,el
856.0,suffering
857.0,efficient
858.0,april
859.0,mahmoud
860.0,events
861.0,expressed
862.0,wilson
863.0,won
864.0,attitude
865.0,education
866.0,ian
867.0,regime
868.0,turkish
869.0,potential
870.0,extremely
871.0,easy
872.0,important
873.0,vietnamese
874.0,campaign
875.0,existence
876.0,manufacture
877.0,egyptian
878.0,market
879.0,stay
880.0,accordance
881.0,programme
882.0,stand
883.0,speaking
884.0,warned
885.0,defence
886.0,rhodesian
887.0,class
888.0,survey
889.0,ships
890.0,complex
891.0,members
892.0,stage
893.0,foreign
894.0,announced
895.0,hundred
896.0,fight
897.0,policy
898.0,concept
899.0,assured
900.0,advanced
901.0,wheat
902.0,back
903.0,congress
904.0,day
905.0,japanese
906.0,bitar
907.0,britain
908.0,mr
909.0,ben
910.0,distribution
911.0,alexandria
912.0,religious
913.0,delegation
914.0,secretariat
915.0,added
916.0,economy
917.0,enter
918.0,activities
919.0,place
920.0,army
921.0,mine
922.0,confidence
923.0,elections
924.0,forces
925.0,criticism
926.0,machines
927.0,week
928.0,discovered
929.0,ensure
930.0,communist
931.0,dollars
932.0,concluded
933.0,growing
934.0,race
935.0,attractive
936.0,chinese
937.0,gained
938.0,contact
939.0,love
940.0,japan
941.0,occasion
942.0,doubt
943.0,factories
944.0,vital
945.0,agreement
946.0,france
947.0,hassan
948.0,border
949.0,plant
950.0,accused
951.0,proved
952.0,threatened
953.0,attention
954.0,regard
955.0,appeared
956.0,draw
957.0,september
958.0,iron
959.0,deal
960.0,original
961.0,yemen
962.0,longer
963.0,deputy
964.0,job
965.0,sphere
966.0,factors
967.0,saudi
968.0,support
969.0,america
970.0,difficulties
971.0,theatre
972.0,standard
973.0,join
974.0,form
975.0,aggression
976.0,season
977.0,reactionary
978.0,wide
979.0,minority
980.0,league
981.0,ali
982.0,led
983.0,scheme
984.0,resignation
985.0,suggested
986.0,influence
987.0,palestinian
988.0,favour
989.0,death
990.0,allies
991.0,ancient
992.0,accept
993.0,ambassador
994.0,light
995.0,explained
996.0,addition
997.0,food
998.0,relations
999.0,ed
1000.0,imperialism
1001.0,delivered
1002.0,individual
1003.0,circles
1004.0,refused
1005.0,conducted
1006.0,read
1007.0,supervise
1008.0,proposed
1009.0,attended
1010.0,ground
1011.0,head
1012.0,answer
1013.0,technical
1014.0,gandhi
1015.0,letter
1016.0,israeli
1017.0,author
1018.0,dam
1019.0,claimed
